Sample_ID,UBA4717,RUG841,Phoenicibacter,Bariatricus,SIG333,Butyribacter,Gemella,RUG14243,Eubacterium_Q,UBA7173,UMGS1264,Pseudodesulfovibrio,Actinomarina,Copromorpha,RUG760,Frisingicoccus,Ligilactobacillus,Choladousia,UBA3633,CAG-603,SIG598,NK4A144,RUG11462,Nodosilinea,Faecalibacterium,Butyrivibrio_A,HGM12619,Firm-04,Avoscillospira,RUG762,Desulfovibrio,Coprobacter,XBB1006,SIG452,Erysipelatoclostridium,SIG351,UMGS1994,HUN007,CAJFUR01,JAGTTR01,UBA5436,Gemmiger,Longibaculum,Limivivens,RGIG7179,Azospirillum,Ventricola,Parasutterella,RGIG426,UMGS1601,UBA11774,Clostridium_A,Ventrenecus,RGIG4708,QXXE01,RGIG5472,SFDP01,MGBC163016,Exiguobacterium_A,Ventrisoma,SIG607,Scatosoma,UMGS1590,UBA3857,OLB17,Falcatimonas,UMGS1312,UBA738,CAG-1000,Acetivibrio,CAG-83,Fibrobacter,CAG-1782,UBA5905,RGIG1588,UBA3774,Pelethousia,UBA3305,Saccharibacillus,Faecalibaculum,UBA1436,Bacillus_D,UMGS1851,Group
ID.1,7.39294E-07,0,0,0.000173865,1.34812E-06,0.00032816,1.77431E-05,2.82671E-06,3.2007088874379393e-5,7.13636E-05,1.30029E-05,1.34812E-06,0,2.03958E-05,1.65254E-06,0.001186567,4.74018E-06,0.000241923,1.13069E-06,5.1881055743389424e-5,5.65343E-07,2.01784E-05,1.95696E-06,0,0.000885544,5.044595529114144e-5,1.69603E-06,7.610381186163579e-6,3.82693E-06,3.17462E-06,2.56579E-06,6.35793E-05,6.87109E-06,0,0.003654549,4.91413E-06,6.8276E-06,5.91435E-06,7.08853E-06,2.21353E-05,1.56556E-06,0.000175822,7.82782E-06,0.000114591,1.30464E-06,2.13091E-06,1.29594E-05,2.55709E-05,4.34879E-07,6.74062E-06,0.000593131,0.002110989,6.95806E-07,8.69758E-07,1.8091E-05,1.60905E-06,5.62298E-05,6.13179E-06,6.523183873854496e-7,1.98305E-05,9.56734E-07,4.17484E-06,2.91369E-06,3.47903E-06,4.34879E-07,2.24832E-05,0,4.43577E-06,3.0876403669577948e-6,8.69758E-07,1.475544192265887e-4,2.65276E-06,0,6.13179E-06,6.95806E-07,3.78345E-06,4.6532E-06,2.00044E-06,2.21788E-06,0,0,4.9576197441294176e-6,2.17874E-05,IBD
ID.2,7.21968E-06,7.2891E-07,8.7932E-07,0.009582281,2.05946E-06,0.010008982,4.78998E-06,2.68424E-06,4.6846905343068314e-5,4.40007E-05,0.000116926,1.0413E-06,1.45782E-06,0.000710988,3.11233E-06,9.17732E-05,1.68806E-05,0.000350015,2.73052E-06,3.058412190265912e-4,1.0413E-06,2.00045E-05,1.37683E-06,1.66608E-06,0.048439411,1.1701891840943268e-4,8.26098E-06,3.8771049593633466e-5,5.25972E-05,9.68408E-06,6.03954E-06,0.003627899,5.56517E-06,7.31224E-06,0.000118616,1.7355E-06,3.77182E-06,1.60013E-05,0.000346452,4.1814E-05,1.5041E-06,0.027909301,4.22305E-06,0.001363975,6.5949E-07,8.59651E-06,0.002278722,0.005751189,2.63796E-06,2.59631E-05,0.013031909,8.177671695846056e-5,1.60823E-06,6.54862E-06,3.39232E-05,1.35369E-06,3.23728E-05,1.7517E-05,1.0297294580224944e-6,1.76442E-05,1.6198E-06,7.89883E-05,7.54479E-05,1.53881E-06,2.04789E-06,5.23311E-05,6.73374E-06,5.30021E-05,3.5913261097773285e-5,1.28427E-06,0.003273209,7.20811E-06,3.3552982340058806e-6,2.73862E-05,4.9751E-07,3.27431E-06,1.07948E-05,2.23301E-06,1.92062E-06,4.9751E-07,3.7024E-07,9.487395006499386e-7,3.99512E-05,IBD
ID.3,1.65671E-06,1.85551E-07,7.95219E-07,0.001201231,1.20608E-06,8.03304E-05,0.002300198,1.10005E-06,1.8369560487854706e-5,0.000113942,3.271E-05,1.39163E-06,5.83161E-07,0.006286936,1.60369E-06,0.001493435,6.99793E-06,0.000260911,1.6302E-06,3.174249449380377e-5,1.61695E-06,9.71493E-06,9.01248E-07,9.14502E-07,0.015273468,1.8740662719932578e-5,1.51092E-06,7.263000827809797e-6,1.79852E-05,4.42672E-06,5.34122E-06,2.33529E-05,1.77599E-06,3.18088E-07,0.000236869,1.19283E-06,1.1809E-05,2.0013E-06,0.001410228,1.5308E-05,7.55458E-07,0.000637607,7.95219E-05,7.83291E-05,1.73623E-06,6.62683E-06,4.06755E-05,1.22596E-05,1.74948E-06,4.30744E-06,0.000159852,0.002439706,6.8919E-07,4.50624E-07,9.83421E-06,1.72297E-07,1.60899E-05,1.8131E-05,6.096679526993626e-7,0.003117325,6.75936E-07,0.000208347,2.57121E-05,1.31211E-06,1.27235E-06,7.19673E-06,5.40749E-06,1.03113E-05,7.183478920935967e-6,9.01248E-07,2.629259314271729e-4,5.15567E-06,1.471155277165853e-6,1.03246E-05,4.63878E-07,1.32537E-06,7.77989E-06,8.48234E-07,1.57718E-06,9.8077E-07,6.22922E-07,3.976095343691495e-7,2.28228E-05,IBD
ID.4,5.48211E-06,0,1.50489E-06,0.00045308,4.35344E-06,0.002883427,1.26303E-05,5.32087E-06,4.213697224785913e-5,0.000192304,1.28991E-06,0,0,3.67624E-05,5.91208E-07,5.2295E-05,7.57821E-06,0.000231915,3.92347E-06,2.8721936185275405e-4,0,2.08535E-05,1.16092E-05,0,0.001342256,5.110720269195057e-4,1.34365E-06,2.7947991797049423e-6,5.37461E-06,2.68731E-06,1.82737E-06,9.83554E-06,5.64334E-06,8.59938E-07,0.000883533,4.56842E-06,0,3.60099E-06,4.56842E-06,4.82103E-05,1.34365E-05,0.000635441,0.007375905,0.000144685,0,3.17102E-06,4.60604E-05,0.008854515,0,1.693E-05,9.49694E-05,1.1394181271104765e-5,1.82737E-06,7.52446E-07,1.25229E-05,9.13684E-07,4.11695E-05,1.71988E-06,1.3436534517812223e-6,1.30066E-05,7.52446E-07,1.82737E-06,6.93325E-06,5.91208E-07,0,0.000395303,2.04235E-06,3.11728E-06,7.755567723681215e-5,9.13684E-07,1.751049178361289e-4,3.38601E-06,6.986997949262356e-7,6.61077E-06,8.06192E-07,0,8.76062E-06,1.55864E-06,0,6.44954E-07,5.91208E-07,1.8811148324937113e-6,6.93325E-06,IBD
ID.5,1.73557E-06,7.19626E-07,7.61957E-07,0.000479482,3.30181E-06,0.0002597,2.01495E-05,1.56624E-06,3.526166227624401e-5,4.63524E-05,3.22985E-05,3.25948E-06,6.77295E-07,7.93282E-05,2.49752E-06,0.000116833,6.18032E-06,0.000376534,2.07422E-06,7.052332455248802e-5,1.35459E-06,1.8414E-05,4.74106E-06,6.34964E-07,0.069081068,7.242821627209304e-5,2.96316E-06,1.4815824485816811e-5,1.14717E-05,5.24903E-06,0.000167503,1.39692E-05,2.58219E-06,1.90489E-06,0.000223338,4.74106E-06,1.01594E-06,3.68279E-06,2.49752E-06,0.000173557,2.62452E-06,0.076920713,5.37603E-06,0.0001402,1.65091E-06,7.06926E-06,3.03089E-05,1.49005E-05,2.49752E-06,0.000135586,0.005018797,0.005647962,6.77295E-07,3.93678E-06,2.16734E-05,2.20121E-06,7.03963E-05,4.14843E-06,4.021438074721706e-6,1.36729E-05,1.01594E-06,9.90544E-06,0.000161916,1.52391E-06,1.18527E-06,3.62353E-05,2.49752E-06,1.44772E-05,1.0582731775583437e-6,3.85211E-06,4.469299283464397e-4,5.2067E-06,1.8202298654003512e-6,2.68378E-05,0,2.03188E-06,2.45096E-05,2.11655E-06,2.07422E-06,3.21715E-06,1.7779E-06,8.466185420466749e-7,8.50852E-06,IBD
ID.6,3.90663E-07,0,5.85995E-07,0.000130091,0,0.00011548,4.15275E-05,1.17199E-06,3.465183229669532e-5,5.87558E-05,2.18771E-06,1.13292E-06,0,6.32875E-06,5.85995E-07,8.16877E-05,0.000486024,0.000236156,2.42211E-06,1.957222996690457e-5,0,1.01182E-05,3.90663E-07,0,0.000142201,1.715011767559103e-5,2.81278E-06,1.0157245092605166e-6,5.27395E-06,3.75037E-06,1.95332E-06,0.000331986,4.0629E-06,0,0.000447036,0,0,2.03145E-06,0,4.60983E-06,0,0.000104581,3.67223E-06,0.00010126,0,6.64128E-07,1.21887E-05,1.48843E-05,0,3.90663E-07,2.5354E-05,1.2657490038477207e-5,3.8285E-06,0,2.06661E-05,0,1.21887E-05,1.21106E-06,0,0.000237172,0,2.07052E-06,1.32826E-06,0,1.95332E-06,1.03135E-05,1.14074E-05,1.28919E-06,4.141030691600568e-6,4.2973E-07,1.2665303303933058e-4,3.55504E-06,0,7.4226E-07,0,1.17199E-06,2.07052E-06,5.07862E-07,1.05479E-06,7.81327E-07,0,4.023831709762816e-6,9.37592E-07,IBD
ID.7,9.73804E-06,2.27014E-06,0,0.000559386,7.48031E-06,0.001977877,5.49672E-05,5.5327E-06,4.799553394671766e-5,7.19499E-07,2.60508E-07,1.98482E-07,2.43141E-06,1.15864E-05,1.61267E-07,4.905E-05,2.90405E-05,5.11464E-05,2.69688E-05,8.034072785022545e-4,7.28182E-06,1.02467E-05,7.07094E-07,1.73672E-07,0.000410238,7.21359601706289e-5,2.10888E-07,6.525110068744764e-6,1.86077E-07,7.98892E-06,3.21293E-06,2.84078E-06,6.30182E-06,2.85319E-07,3.81831E-05,0,1.64989E-06,5.50789E-06,2.85319E-07,0.000398292,8.68361E-07,0.000461534,7.04613E-06,0.000103409,1.24052E-07,2.35698E-07,3.15091E-06,6.84764E-06,0,1.73672E-07,1.36085E-05,4.73876814878422e-6,1.17849E-06,0,2.10888E-07,1.24052E-07,4.7611E-05,0,2.7291334888286085e-7,1.47125E-05,1.61267E-07,1.07056E-05,1.73672E-07,0,3.47344E-07,0.000110592,0,5.33422E-07,6.723592504295935e-6,4.3418E-07,7.982715454823679e-5,1.98482E-06,5.08611241099877e-7,1.46381E-06,3.22534E-07,1.73672E-07,4.58991E-07,7.69119E-07,0,0,0,7.070936766510486e-7,1.2033E-06,IBD
ID.8,7.28699E-07,7.4105E-07,2.84069E-07,0.002384144,8.64559E-07,0.000107489,2.06753E-05,7.16349E-07,1.6871243462022632e-5,0.000149099,1.61796E-06,2.59368E-07,3.33473E-07,2.71595E-05,8.64559E-07,1.87362E-05,0.002878338,0.001379428,1.27214E-06,6.413789699727931e-5,2.22315E-07,9.83127E-06,5.68139E-07,2.9642E-07,0.000291183,1.7451732805152255e-5,1.30919E-06,2.0008356082340165e-6,1.35859E-06,4.61921E-06,3.37178E-06,0.000149853,3.10006E-06,1.4821E-07,0.000485783,6.79296E-07,7.16349E-07,9.63365E-07,2.56897E-06,1.14492E-05,1.37094E-06,9.97824E-05,2.17375E-06,8.24418E-05,1.97613E-07,1.19803E-06,3.5731E-05,9.96713E-06,2.84069E-07,1.97613E-07,4.34996E-05,4.5512834668779946e-4,6.54594E-07,0,4.89217E-05,0,1.97984E-05,1.37094E-06,6.916468769204008e-7,1.20297E-05,0,2.92715E-06,5.81724E-06,3.58174E-07,2.74189E-06,1.57103E-05,1.21038E-06,1.88968E-06,5.45906999283602e-6,7.78103E-07,1.7544364083311239e-4,5.175E-06,1.2597853829621586e-6,1.01277E-06,1.60561E-07,2.9642E-07,6.36068E-06,8.39857E-07,1.09922E-06,1.39564E-06,3.70525E-07,6.298926914810793e-7,1.9786E-05,IBD
ID.9,1.53948E-06,6.02964E-06,1.06909E-06,0.000587612,7.0132E-06,0.000737412,5.20003E-05,2.39475E-06,7.227015833878532e-5,5.22996E-05,0.000549895,1.49672E-06,0,3.07469E-05,1.32567E-06,6.62833E-05,7.09873E-06,0.000361009,6.41451E-07,1.9495837388551612e-4,1.58225E-06,1.99277E-05,6.84215E-07,0,0.075669251,1.8845833597575553e-4,6.58556E-06,7.0559622046743055e-6,8.50992E-06,6.88491E-06,2.52304E-06,0.000390002,7.39807E-06,2.60857E-06,0.000714662,3.33555E-06,1.79606E-06,5.47372E-06,6.79938E-06,2.72403E-05,0,0.000759136,5.17437E-06,0.000220702,0,1.53948E-06,7.14149E-06,3.49805E-05,0,3.49805E-05,0.000143172,0.015630068131943415,9.40795E-07,0,5.08885E-06,5.98688E-07,3.01482E-05,3.12173E-06,0,2.28357E-05,0,2.65133E-06,1.89014E-05,0,6.84215E-07,5.28983E-05,6.62833E-06,6.67109E-06,9.172750866076597e-5,8.98032E-07,1.5249431043556713e-4,5.60201E-06,3.463835991385568e-6,7.74018E-06,0,8.55268E-07,4.74674E-06,1.02632E-06,1.11185E-06,5.13161E-07,0,4.2763407301056396e-7,7.61189E-06,IBD
ID.10,0,1.77229E-06,0,0.000412757,4.10425E-06,0.000349701,1.12401E-05,5.8299E-06,8.227157988437485e-5,4.38409E-06,2.93827E-06,3.21811E-06,6.52949E-07,2.20603E-05,6.52949E-07,0.000348442,8.90343E-05,0.000451841,6.66941E-06,1.1967623241684006e-4,6.52949E-07,5.13498E-05,1.63237E-06,0,0.000464993,4.9670766766926994e-5,7.46227E-07,6.156376726041655e-6,4.61728E-06,2.1454E-06,3.12483E-06,3.77778E-06,7.92867E-06,1.01207E-05,0.022659757,5.64335E-06,0,8.16186E-06,8.86145E-07,7.60219E-05,1.0727E-06,0.000500952,6.43621E-06,0.000419287,3.07819E-06,5.13031E-07,1.48313E-05,0.027692782,0,0,3.7358E-05,1.3245537804513865e-5,7.92867E-07,1.39918E-06,2.68176E-05,0,0.000133901,7.92867E-07,1.5390941815104138e-6,2.45789E-05,5.41015E-06,2.6118E-06,1.68834E-05,0,6.99588E-07,2.52318E-05,0,1.11934E-06,3.684498192100688e-6,2.3786E-06,8.297116814869777e-5,7.78875E-06,2.607132265043398e-5,0,0,2.05213E-06,3.03155E-06,5.64335E-06,4.66392E-07,0,1.02606E-06,6.529490467013877e-7,7.24773E-05,IBD
